Ad group,Ad group ID
Acura | MDX,99357626786
Mercedes-Benz | CLK-Class,99357668626
Mercedes-Benz | CLS-Class,99357668826
Mercedes-Benz | G63 AMG,99357669066
Mercedes-Benz | GLA,99357669266
Mercedes-Benz | GLC-Class,99357669506
Mercedes-Benz | GLS,99357669986
Mercedes-Benz | GT,99357670026
Mercedes-Benz | M-Class,99357670066
Mercedes-Benz | Metris,99357670266
Mercedes-Benz | S-Class Hybrid,99357670506
Mercedes-Benz | SL550,99357670706
Mercedes-Benz | SLK,99357670786
Mercedes-Benz | Sprinter 2500 Cargo Van,99357671226
Mercedes-Benz | Sprinter 2500 Passenger Van,99357671466
Mercury | Milan,99357671706
Mercury | Sable,99357671986
Mitsubishi | Eclipse Spyder,99357672186
Mitsubishi | Lancer,99357672426
Mitsubishi | Lancer Evolution,99357672466
Mitsubishi | Mirage G4,99357672706
Mitsubishi | Outlander,99357672906
Nissan | 350Z Roadster,99357673346
Nissan | Armada,99357673626
Nissan | Frontier,99357673826
Nissan | Maxima,99357674106
Nissan | Murano,99357674146
Nissan | NV,99357674306
Nissan | NV2500 HD Cargo,99357675066
Nissan | NV3500,99357675106
Nissan | NV3500 Cargo,99357675266
Nissan | Pathfinder,99357675346
Nissan | Pathfinder Hybrid,99357675506
Nissan | Rogue,99357675586
Nissan | Titan,99357675826
Nissan | Titan XD,99357675986
Nissan | Versa Note,99357676066
Porsche | Boxster,99357677026
Porsche | Macan,99357677266
RAM | CV,99357677746
RAM | ProMaster City,99357677986
Saab | 3-9,99357678146
Saab | 9-2X,99357678226
Saturn | Aura,99357678706
Saturn | Relay,99357679106
Saturn | VUE,99357679186
Saturn | VUE Hybrid,99357679346
Scion | tC,99357679426
Scion | xB,99357679586
Smart | Fortwo,99357679666
Subaru | Baja,99357679906
Subaru | Outback,99357680546
Subaru | WRX,99357680626
Subaru | XV Crosstrek,99357680786
Suzuki | SX4 Sport,99357681506
Suzuki | SX4 Sportback,99357681546
Toyota | Avalon Hybrid,99357681986
Toyota | Camry,99357682066
Toyota | Matrix,99357682786
Toyota | Mirai,99357682946
Toyota | Prius V,99357683266
Toyota | RAV4,99357683426
Toyota | Sienna,99357683666
Toyota | Tacoma,99357683706
Toyota | Tundra,99357683746
Volkswagen | GTI,99357684386
Volkswagen | Golf Sportwagen,99357684666
Volkswagen | Jetta SportWagen,99357684906
Volkswagen | Routan,99357685346
Volvo | C30,99357685666
Volvo | C30 T5,99357685826
Volvo | S40,99357686066
Volvo | S60,99357686106
Volvo | S80 3.2,99357686546
Volvo | XC60,99357687026
Volvo | XC60 T6,99357687106
Volvo | XC70 T6 AWD,99357687306
Acura | CL,99357626546
Acura | ILX,99357626586
Acura | ILX Hybrid,99357626626
Acura | RL,99357627026
Acura | RLX,99357627066
Acura | RSX,99357627106
Acura | TSX Sport Wagon,99357627506
Acura | ZDX,99357627546
Audi | A4 Cabriolet,99357628026
Audi | A5,99357628066
Audi | A6,99357628266
Audi | A6 Avant,99357628306
Audi | A8,99357628506
Audi | S6,99357629706
Audi | TT-RS,99357630226
BMW | 135i,99357630466
BMW | 2-series,99357630626
BMW | 5-series,99357630906
BMW | 6-series,99357630946
BMW | 645 Ci,99357631146
BMW | 650i,99357631186
BMW | 7-series,99357631346
BMW | M3,99357631626
BMW | X3,99357631866
BMW | X5,99357632066
BMW | X6,99357632106
BMW | Z4 Coupe,99357632306
BMW | Z4 Roadster,99357632346
Buick | Enclave,99357632626
Buick | Lucerne,99357633026
Buick | Regal,99357633106
Buick | Terraza,99357633306
Cadillac | DTS,99357633786
Cadillac | Escalade Hybrid,99357634066
Cadillac | STS,99357634306
Cadillac | XLR,99357634466
Cadillac | XTS,99357634546
Chevrolet | Avalanche 1500,99357634746
Chevrolet | Corvette Grand Sport,99357635706
Chevrolet | Express 1500,99357636186
Chevrolet | Express 1500 Cargo,99357636226
Chevrolet | Express 2500,99357636386
Chevrolet | Express Cargo 3500,99357636946
Chevrolet | HHR,99357637146
Chevrolet | Impala,99357637346
Chevrolet | Malibu,99357637386
Chevrolet | Monte Carlo,99357637626
Chevrolet | SS,99357637666
Chevrolet | Silverado 3500 HD,99357638306
Chevrolet | Silverado 3500HD,99357638346
Chevrolet | Silverado Classic 1500,99357638386
Chevrolet | Silverado Classic 2500,99357638546
Chevrolet | Spark EV,99357638826
Chevrolet | Suburban 2500,99357639066
Chevrolet | Tahoe Hybrid,99357639266
Chevrolet | Traverse,99357639506
Chrysler | Aspen Hybrid,99357640026
Chrysler | Crossfire,99357640066
Chrysler | PT Cruiser,99357640226
Chrysler | Town and Country,99357640506
Dodge | Avenger,99357640546
Dodge | Durango Hybrid,99357641226
Dodge | Ram 2500,99357641706
Dodge | Ram 3500,99357641746
Ford | E-150,99357642906
Ford | E-Series,99357643386
Ford | Ecosport,99357643586
Ford | F-150 Flareside,99357644306
Ford | F-350,99357644546
Ford | F-350 SD,99357644586
Ford | F-350 SD DRW,99357644626
Ford | F-450 SD DRW,99357644786
Ford | Focus,99357645066
Ford | Focus ZX3,99357645106
Ford | Focus ZX4,99357645266
Ford | Freestar,99357645506
Ford | Freestyle,99357645546
Ford | Fusion Energi,99357645746
Ford | Ranger,99357646026
Ford | Shelby,99357646066
Ford | Super Duty F-250,99357646226
Ford | Transit,99357646506
Ford | Transit  150,99357646546
GMC | Acadia,99357647186
GMC | Canyon,99357647266
GMC | Envoy,99357647426
GMC | Savana 1500 Cargo,99357647666
GMC | Savana 3500,99357647906
GMC | Savana 3500 Cargo,99357647946
GMC | Savana Cargo 3500,99357648226
GMC | Sierra,99357648386
GMC | Sierra 1500,99357648426
GMC | Sierra 1500HD,99357648626
GMC | Sierra 2500HD,99357648706
GMC | Sierra Classic 1500,99357649146
GMC | Sierra Classic 2500,99357649186
GMC | Sierra Classic 3500,99357649346
GMC | Sierra Hybrid,99357649386
GMC | Yukon,99357649586
Honda | Accord Crosstour,99357649906
Honda | CR-V,99357650106
Honda | Civic,99357650306
Honda | Crosstour,99357650546
Honda | Pilot,99357651066
Hummer | H1 Alpha,99357651306
Hyundai | Elantra Touring,99357651826
Hyundai | Kona,99357652266
Hyundai | Santa Fe,99357652306
Hyundai | Sonata,99357652506
Hyundai | Sonata Hybrid,99357652546
Hyundai | Veracruz,99357652986
Infiniti | FX35,99357653186
Infiniti | G20,99357653466
Infiniti | J30,99357653946
Infiniti | M30,99357654146
Infiniti | M35h,99357654226
Infiniti | M37,99357654386
Infiniti | M56,99357654466
Infiniti | QX56,99357654906
Infiniti | QX70,99357655106
Infiniti | QX80,99357655146
Isuzu | i280,99357655386
Isuzu | i370,99357655586
Jeep | Cherokee,99357655626
Jeep | Grand Cherokee,99357655866
Jeep | Wrangler,99357656146
Kia | Cadenza,99357656386
Kia | Forte 5-Door,99357656586
Kia | Forte Koup,99357656626
Kia | K900,99357656826
Kia | Niro,99357656866
Kia | Rio 5-door,99357657266
Kia | Rondo,99357657346
Kia | Soul,99357657586
Kia | Soul EV,99357657746
Kia | Sportage,99357657986
Land Rover | LR3,99357658266
Land Rover | Range Rover Evoque,99357658506
Land Rover | Range Rover Evoque Coupe,99357658546
Land Rover | Range Rover LWB,99357658706
Lexus | CT Hybrid,99357658786
Lexus | ES,99357658946
Lexus | GS 350,99357659666
Lexus | GS 350 F,99357659706
Lexus | GS350,99357659946
Lexus | GS350 F,99357659986
Lexus | GX 460,99357660426
Lexus | HS,99357660666
